id,date,step_total
1503960366,4/12/2016,13162
1624580081,4/12/2016,8163
1644430081,4/12/2016,10694
1844505072,4/12/2016,6697
1927972279,4/12/2016,678
2022484408,4/12/2016,11875
2026352035,4/12/2016,4414
2320127002,4/12/2016,10725
2347167796,4/12/2016,10113
2873212765,4/12/2016,8796
3372868164,4/12/2016,4747
3977333714,4/12/2016,8856
4020332650,4/12/2016,8539
4057192912,4/12/2016,5394
4319703577,4/12/2016,7753
4388161847,4/12/2016,10122
4445114986,4/12/2016,3276
4558609924,4/12/2016,5135
4702921684,4/12/2016,7213
5553957443,4/12/2016,11596
5577150313,4/12/2016,8135
6117666160,4/12/2016,0
6290855005,4/12/2016,4562
6775888955,4/12/2016,0
6962181067,4/12/2016,10199
7007744171,4/12/2016,14172
7086361926,4/12/2016,11317
8053475328,4/12/2016,18060
8253242879,4/12/2016,9033
8378563200,4/12/2016,7626
8583815059,4/12/2016,5014
8792009665,4/12/2016,2564
8877689391,4/12/2016,23186
1503960366,4/13/2016,10735
1624580081,4/13/2016,7007
1644430081,4/13/2016,8001
1844505072,4/13/2016,4929
1927972279,4/13/2016,356
2022484408,4/13/2016,12024
2026352035,4/13/2016,4993
2320127002,4/13/2016,7275
2347167796,4/13/2016,10352
2873212765,4/13/2016,7618
3372868164,4/13/2016,9715
3977333714,4/13/2016,10035
4020332650,4/13/2016,0
4057192912,4/13/2016,5974
4319703577,4/13/2016,8204
4388161847,4/13/2016,10993
4445114986,4/13/2016,2961
4558609924,4/13/2016,4978
4702921684,4/13/2016,6877
5553957443,4/13/2016,4832
5577150313,4/13/2016,5077
6117666160,4/13/2016,0
6290855005,4/13/2016,7142
6775888955,4/13/2016,4053
6962181067,4/13/2016,5652
7007744171,4/13/2016,12862
7086361926,4/13/2016,5813
8053475328,4/13/2016,16433
8253242879,4/13/2016,8053
8378563200,4/13/2016,12386
8583815059,4/13/2016,5571
8792009665,4/13/2016,1320
8877689391,4/13/2016,15337
1503960366,4/14/2016,10460
1624580081,4/14/2016,9107
1644430081,4/14/2016,11037
1844505072,4/14/2016,7937
1927972279,4/14/2016,2163
2022484408,4/14/2016,10690
2026352035,4/14/2016,3335
2320127002,4/14/2016,3973
2347167796,4/14/2016,10129
2873212765,4/14/2016,7910
3372868164,4/14/2016,8844
3977333714,4/14/2016,7641
4020332650,4/14/2016,108
4057192912,4/14/2016,0
4319703577,4/14/2016,10210
4388161847,4/14/2016,8863
4445114986,4/14/2016,3974
4558609924,4/14/2016,6799
4702921684,4/14/2016,7860
5553957443,4/14/2016,17022
5577150313,4/14/2016,8596
6117666160,4/14/2016,0
6290855005,4/14/2016,7671
6775888955,4/14/2016,5162
6962181067,4/14/2016,1551
7007744171,4/14/2016,11179
7086361926,4/14/2016,9123
8053475328,4/14/2016,20159
8253242879,4/14/2016,5234
8378563200,4/14/2016,13318
8583815059,4/14/2016,3135
8792009665,4/14/2016,1219
8877689391,4/14/2016,21129
1503960366,4/15/2016,9762
1624580081,4/15/2016,1510
1644430081,4/15/2016,5263
1844505072,4/15/2016,3844
1927972279,4/15/2016,980
2022484408,4/15/2016,11034
2026352035,4/15/2016,3821
2320127002,4/15/2016,5205
2347167796,4/15/2016,10465
2873212765,4/15/2016,8482
3372868164,4/15/2016,7451
3977333714,4/15/2016,9010
4020332650,4/15/2016,1882
4057192912,4/15/2016,3984
4319703577,4/15/2016,5664
4388161847,4/15/2016,8758
4445114986,4/15/2016,7198
4558609924,4/15/2016,7795
4702921684,4/15/2016,6506
5553957443,4/15/2016,16556
5577150313,4/15/2016,12087
6117666160,4/15/2016,14019
6290855005,4/15/2016,9501
6775888955,4/15/2016,1282
6962181067,4/15/2016,5563
7007744171,4/15/2016,5273
7086361926,4/15/2016,8585
8053475328,4/15/2016,20669
8253242879,4/15/2016,2672
8378563200,4/15/2016,14461
8583815059,4/15/2016,3430
8792009665,4/15/2016,2483
8877689391,4/15/2016,13422
1503960366,4/16/2016,12669
1624580081,4/16/2016,5370
1644430081,4/16/2016,15300
1844505072,4/16/2016,3414
1927972279,4/16/2016,0
2022484408,4/16/2016,10100
2026352035,4/16/2016,2547
2320127002,4/16/2016,5057
2347167796,4/16/2016,22244
2873212765,4/16/2016,9685
3372868164,4/16/2016,6905
3977333714,4/16/2016,13459
4020332650,4/16/2016,1982
4319703577,4/16/2016,4744
4388161847,4/16/2016,6580
4445114986,4/16/2016,3945
4558609924,4/16/2016,7289
4702921684,4/16/2016,11140
5553957443,4/16/2016,5771
5577150313,4/16/2016,14269
6117666160,4/16/2016,14450
6290855005,4/16/2016,8301
6775888955,4/16/2016,4732
6962181067,4/16/2016,13217
7007744171,4/16/2016,4631
7086361926,4/16/2016,31
8053475328,4/16/2016,14549
8253242879,4/16/2016,9256
8378563200,4/16/2016,11207
8583815059,4/16/2016,5319
8792009665,4/16/2016,244
8877689391,4/16/2016,29326
1503960366,4/17/2016,9705
1624580081,4/17/2016,6175
1644430081,4/17/2016,8757
1844505072,4/17/2016,4525
1927972279,4/17/2016,0
2022484408,4/17/2016,15112
2026352035,4/17/2016,838
2320127002,4/17/2016,6198
2347167796,4/17/2016,5472
2873212765,4/17/2016,2524
3372868164,4/17/2016,8199
3977333714,4/17/2016,10415
4020332650,4/17/2016,16
4319703577,4/17/2016,29
4388161847,4/17/2016,4660
4445114986,4/17/2016,2268
4558609924,4/17/2016,9634
4702921684,4/17/2016,12692
5553957443,4/17/2016,655
5577150313,4/17/2016,12231
6117666160,4/17/2016,7150
6290855005,4/17/2016,7851
